episodio,recompensa,feromona_media,feromona_max,peso_aco_aplicado
0,-4.999999999999938,0.9899998307228088,0.9900000095367432,0.0
1,8.5,1.0311205387115479,1.3134336471557617,0.0
2,8.879999999999999,1.0718296766281128,1.5720134973526,0.0
3,6.52000000000003,1.1121318340301514,1.6769187450408936,0.0
4,7.320000000000013,1.1520309448242188,1.8797022104263306,0.0
5,-4.999999999999938,1.1405107975006104,1.8609051704406738,0.0
6,6.100000000000039,1.1801260709762573,2.1062214374542236,0.0
7,7.9399999999999995,1.219345211982727,2.27933406829834,0.0
8,8.66,1.2581722736358643,2.480421543121338,0.0
9,5.240000000000057,1.2966108322143555,2.560659885406494,0.0
10,6.7200000000000255,1.334665060043335,2.7484676837921143,0.0
11,8.68,1.3723390102386475,2.872498035430908,0.0
12,6.340000000000034,1.4096359014511108,2.853771924972534,0.0
13,8.66,1.446560025215149,3.0516281127929688,0.0
14,9.62,1.4831150770187378,3.738537549972534,0.0
15,8.259999999999998,1.5193039178848267,3.7586236000061035,0.0
16,9.2,1.555131196975708,4.121649742126465,0.0
17,5.200000000000058,1.5906004905700684,4.288768291473389,0.0
18,6.540000000000029,1.6257150173187256,4.332585334777832,0.0
19,8.159999999999998,1.660478115081787,4.724043369293213,0.0
20,9.64,1.694893717765808,5.510136127471924,0.0
21,9.66,1.728965401649475,6.3373870849609375,0.0
22,8.399999999999999,1.7626959085464478,6.399013042449951,0.0
23,7.120000000000017,1.7960896492004395,6.473912239074707,0.0
24,9.54,1.8291490077972412,6.6265645027160645,0.0
25,8.94,1.8618780374526978,6.654638767242432,0.0
26,7.040000000000019,1.8942795991897583,6.689444065093994,0.0
27,8.579999999999998,1.926357388496399,6.833817481994629,0.0
28,7.540000000000008,1.9581141471862793,7.0093817710876465,0.0
29,9.18,1.9895533323287964,7.18319034576416,0.0
30,9.2,2.0206782817840576,7.111358642578125,0.0
31,9.34,2.0514919757843018,7.191760063171387,0.0
32,8.94,2.081997871398926,7.402862071990967,0.0
33,7.280000000000014,2.1121981143951416,7.365598201751709,0.0
34,9.02,2.1420962810516357,7.598064422607422,0.0
35,9.08,2.1716957092285156,7.9568657875061035,0.0
36,9.54,2.2009992599487305,8.094688415527344,0.0
37,8.92,2.2300097942352295,8.291518211364746,0.0
38,9.64,2.258729934692383,8.208602905273438,0.0
39,8.899999999999999,2.287163257598877,8.39924430847168,0.0
40,9.18,2.315311908721924,8.437203407287598,0.0
41,9.26,2.3431789875030518,8.623101234436035,0.0
42,8.959999999999999,2.3707680702209473,8.729178428649902,0.0
43,8.84,2.398080587387085,8.728093147277832,0.0
44,9.4,2.4251203536987305,8.807478904724121,0.0
45,9.3,2.4518892765045166,9.576549530029297,0.0
46,9.42,2.47839093208313,9.6531982421875,0.0
47,8.98,2.5046277046203613,9.556666374206543,0.0
48,9.24,2.530601739883423,9.724258422851562,0.0
49,9.7,2.5548181533813477,10.0,0.0
50,9.4,2.5802900791168213,9.93881893157959,0.0
51,9.7,2.603940725326538,10.0,0.0
52,8.059999999999999,2.628364324569702,10.0,0.0
53,9.42,2.6497232913970947,10.0,0.0
54,9.34,2.6714017391204834,10.0,0.0
