episodio,recompensa,feromona_media,feromona_max,peso_aco_aplicado
0,9.059999999999999,1.0410202741622925,1.5219148397445679,1.0
1,7.280000000000014,1.0816307067871094,1.585200309753418,0.99993
2,8.52,1.1218347549438477,1.869584083557129,0.99986
3,7.400000000000011,1.1616369485855103,2.004734516143799,0.99979
4,9.28,1.2010408639907837,2.410200834274292,0.99972
5,9.26,1.2400511503219604,3.061774730682373,0.99965
6,9.28,1.2786709070205688,3.8458828926086426,0.99958
7,8.86,1.3169045448303223,3.8074240684509277,0.99951
8,8.34,1.3547557592391968,3.7693498134613037,0.99944
9,8.879999999999999,1.3922288417816162,3.9102275371551514,0.99937
10,9.24,1.4293268918991089,4.00270414352417,0.9993
11,9.32,1.46605384349823,3.962677240371704,0.99923
12,8.84,1.5024139881134033,4.38875150680542,0.99916
13,9.2,1.5384100675582886,4.9698638916015625,0.99909
14,9.7,1.5740467309951782,5.586832046508789,0.99902
15,9.379999999999999,1.6093263626098633,5.530963897705078,0.99895
16,9.68,1.6442536115646362,5.475654125213623,0.99888
17,9.56,1.6788315773010254,5.648169994354248,0.99881
18,9.24,1.7130635976791382,5.978446960449219,0.99874
19,9.46,1.7469533681869507,6.474217414855957,0.99867
20,9.68,1.7805042266845703,6.721975326538086,0.9986
21,9.44,1.8137197494506836,6.8817458152771,0.99853
22,9.7,1.8466027975082397,6.812928199768066,0.99846
23,9.64,1.8791570663452148,7.300354480743408,0.99839
24,9.42,1.9113860130310059,7.227351188659668,0.99832
25,9.32,1.9432927370071411,7.59815788269043,0.99825
26,9.44,1.9748799800872803,7.910417556762695,0.99818
27,9.7,2.0061516761779785,9.16464614868164,0.99811
28,9.48,2.0371105670928955,9.072999954223633,0.99804
29,9.46,2.0677599906921387,9.537826538085938,0.99797
30,9.52,2.0981028079986572,9.650781631469727,0.9979
31,9.059999999999999,2.1260740756988525,10.0,0.99783
32,9.56,2.1523115634918213,10.0,0.99776
33,8.739999999999998,2.1803998947143555,10.0,0.99769
34,9.66,2.206134796142578,10.0,0.99762
35,9.5,2.2275545597076416,10.0,0.99755
36,9.58,2.2555952072143555,10.0,0.99748
37,9.66,2.2760961055755615,10.0,0.99741
38,8.92,2.3039212226867676,10.0,0.99734
39,9.6,2.33113694190979,10.0,0.99727
40,9.76,2.354489326477051,10.0,0.9972
41,8.86,2.381580114364624,10.0,0.99713
42,9.72,2.407472610473633,10.0,0.99706
43,9.72,2.4239044189453125,10.0,0.99699
44,9.8,2.4486453533172607,10.0,0.99692
45,9.6,2.4672555923461914,10.0,0.99685
46,9.8,2.4803383350372314,10.0,0.99678
47,9.84,2.492217540740967,10.0,0.99671
48,9.26,2.517267942428589,10.0,0.99664
49,9.44,2.537464141845703,10.0,0.99657
50,9.12,2.5448896884918213,10.0,0.9965
51,9.26,2.554751396179199,10.0,0.99643
52,7.860000000000001,2.5430774688720703,10.0,0.99636
53,9.7,2.563924789428711,10.0,0.99629
