episodio,recompensa,feromona_media,feromona_max,peso_aco_aplicado
0,6.320000000000034,1.0410202741622925,1.2889126539230347,1.0
1,-4.999999999999938,1.0306100845336914,1.276023507118225,0.99993
2,7.880000000000001,1.071324348449707,1.534089207649231,0.99986
3,7.860000000000001,1.1116316318511963,2.061574935913086,0.99979
4,7.979999999999999,1.1515356302261353,2.8624160289764404,0.99972
5,8.239999999999998,1.1910409927368164,3.4019744396209717,0.99965
6,9.26,1.230150818824768,3.9084954261779785,0.99958
7,8.319999999999999,1.2688696384429932,5.655118465423584,0.99951
8,9.219999999999999,1.3072015047073364,5.699989318847656,0.99944
9,9.32,1.3451498746871948,7.260638236999512,0.99937
10,9.64,1.382718801498413,7.188032150268555,0.9993
11,9.36,1.4199118614196777,9.147401809692383,0.99923
12,9.26,1.456723928451538,10.0,0.99916
13,9.5,1.480330228805542,10.0,0.99909
14,9.219999999999999,1.4979444742202759,10.0,0.99902
15,9.379999999999999,1.5339852571487427,9.899999618530273,0.99895
16,9.04,1.554689645767212,10.0,0.99888
17,9.76,1.5901633501052856,9.899999618530273,0.99881
18,9.56,1.6252821683883667,9.800999641418457,0.99874
19,9.5,1.6600497961044312,9.70298957824707,0.99867
20,8.879999999999999,1.6884684562683105,10.0,0.9986
21,9.74,1.722604513168335,9.899999618530273,0.99853
22,9.82,1.7563986778259277,9.800999641418457,0.99846
23,9.74,1.7877150774002075,10.0,0.99839
24,9.74,1.8120671510696411,10.0,0.99832
25,9.8,1.8357833623886108,10.0,0.99825
26,9.7,1.8594260215759277,10.0,0.99818
27,9.72,1.8788056373596191,10.0,0.99811
28,9.7,1.8887592554092407,10.0,0.99804
29,9.8,1.9095661640167236,10.0,0.99797
30,9.58,1.9197412729263306,10.0,0.9979
31,9.82,1.9389225244522095,10.0,0.99783
32,9.8,1.95932936668396,10.0,0.99776
33,9.82,1.983500599861145,10.0,0.99769
34,9.86,2.0083343982696533,10.0,0.99762
35,9.84,2.026888608932495,10.0,0.99755
36,9.86,2.04026460647583,10.0,0.99748
37,9.86,2.0451529026031494,10.0,0.99741
38,9.84,2.0492074489593506,10.0,0.99734
39,9.86,2.0431368350982666,10.0,0.99727
40,9.86,2.036116361618042,10.0,0.9972
41,9.86,2.057373046875,10.0,0.99713
42,9.86,2.0784177780151367,10.0,0.99706
43,9.84,2.085557222366333,10.0,0.99699
44,9.58,2.1129040718078613,10.0,0.99692
45,9.74,2.1384389400482178,10.0,0.99685
46,9.84,2.141289472579956,10.0,0.99678
47,9.2,2.1446526050567627,10.0,0.99671
48,9.78,2.1496028900146484,10.0,0.99664
