episodio,recompensa,feromona_media,feromona_max,peso_aco_aplicado
0,-4.999999999999938,0.9899998307228088,0.9900000095367432,1.0
1,9.56,1.0311204195022583,1.8891910314559937,0.99993
2,8.379999999999999,1.0718296766281128,2.2406697273254395,0.99986
3,7.160000000000016,1.1121318340301514,2.570376396179199,0.99979
4,6.02000000000004,1.1520308256149292,2.745678663253784,0.99972
5,7.1400000000000166,1.1915311813354492,2.71822190284729,0.99965
6,5.260000000000057,1.2306361198425293,2.733233690261841,0.99958
7,9.68,1.2693501710891724,2.9316306114196777,0.99951
8,9.34,1.3076770305633545,3.0538296699523926,0.99944
9,8.959999999999999,1.3456206321716309,3.9558987617492676,0.99937
10,9.219999999999999,1.3831849098205566,3.916339874267578,0.9993
11,9.32,1.4203734397888184,4.318353176116943,0.99923
12,8.959999999999999,1.4571900367736816,4.467477321624756,0.99916
13,9.68,1.4936386346817017,4.843581199645996,0.99909
14,9.52,1.5297229290008545,4.795241355895996,0.99902
15,9.58,1.5654457807540894,4.747289180755615,0.99895
16,9.34,1.6008117198944092,5.37175989151001,0.99888
17,8.7,1.6358240842819214,5.589437961578369,0.99881
18,8.78,1.670486330986023,6.975926876068115,0.99874
19,9.84,1.7048017978668213,7.468933582305908,0.99867
20,9.48,1.7387741804122925,8.163474082946777,0.9986
21,9.58,1.772407054901123,9.986601829528809,0.99853
22,9.66,1.7957769632339478,10.0,0.99846
23,9.74,1.8234081268310547,10.0,0.99839
24,9.48,1.8561943769454956,9.899999618530273,0.99832
25,9.72,1.8870395421981812,10.0,0.99825
26,9.379999999999999,1.9185638427734375,10.0,0.99818
27,9.68,1.9386638402938843,10.0,0.99811
28,9.3,1.9684027433395386,10.0,0.99804
29,9.42,1.9972410202026367,10.0,0.99797
30,9.84,2.0256104469299316,10.0,0.9979
31,9.58,2.0563747882843018,9.899999618530273,0.99783
32,9.76,2.086831569671631,9.800999641418457,0.99776
33,9.74,2.1165366172790527,10.0,0.99769
34,9.66,2.1463916301727295,9.899999618530273,0.99762
35,9.84,2.175947904586792,9.800999641418457,0.99755
36,9.52,2.2045986652374268,10.0,0.99748
37,9.74,2.232120990753174,10.0,0.99741
38,9.72,2.26017689704895,10.0,0.99734
39,9.86,2.2810323238372803,10.0,0.99727
40,9.76,2.3043954372406006,10.0,0.9972
41,9.78,2.3246259689331055,10.0,0.99713
42,9.74,2.3487987518310547,10.0,0.99706
43,9.64,2.3732080459594727,10.0,0.99699
44,9.78,2.3885467052459717,10.0,0.99692
45,9.86,2.398759126663208,10.0,0.99685
46,9.78,2.411315679550171,10.0,0.99678
47,9.7,2.4285647869110107,10.0,0.99671
48,9.84,2.4375545978546143,10.0,0.99664
49,9.76,2.443006753921509,10.0,0.99657
50,9.86,2.439072847366333,10.0,0.9965
51,9.84,2.4553098678588867,10.0,0.99643
52,9.86,2.4538307189941406,10.0,0.99636
53,9.84,2.4491748809814453,10.0,0.99629
54,9.74,2.4465043544769287,10.0,0.99622
55,9.84,2.4409162998199463,10.0,0.99615
56,9.78,2.4402081966400146,10.0,0.99608
57,9.82,2.436100959777832,10.0,0.99601
58,9.76,2.436995506286621,10.0,0.99594
59,9.82,2.4566729068756104,10.0,0.99587
60,9.76,2.4567599296569824,10.0,0.9958
61,9.78,2.4524106979370117,10.0,0.99573
62,9.64,2.4472744464874268,10.0,0.99566
